hotel_id,hotel_name,,,,,,,,,,,,,,,,,,,,,,,,
3525,Airy Nusa Dua Bypass Ngurah Rai 168 Benoa Bali,,,,,,,,,,,,,,,,,,,,,,,,
3522,Airy Legian Troppo Zone 8 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3506,Airy Kuta Bakung Sari Gang Kresek 7 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3526,Airy Pantai Sanur Danau Tamblingan 50 Denpasar Bali,,,,,,,,,,,,,,,,,,,,,,,,
3514,Airy Legian Kelod 1 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3527,Penuin Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3520,Airy Mergangsan Taman Siswa 117 Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,
3529,Airy Sanur Danau Tempe 6 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3517,Airy Legian Melasti 36 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3532,Airy Raya Kuta 323 Joger Bali,,,,,,,,,,,,,,,,,,,,,,,,
3531,Airy Nusa Dua 1 Kuta Selatan Bali,,,,,,,,,,,,,,,,,,,,,,,,
3528,Airy Pakuan Bogor,,,,,,,,,,,,,,,,,,,,,,,,
3519,Airy Syariah Lengkong Buah Batu 31 Bandung,,,,,,,,,,,,,,,,,,,,,,,,
3518,RedDoorz Near Ground Zero Legian 2,,,,,,,,,,,,,,,,,,,,,,,,
3534,Airy Seminyak Eka Laweya 8 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3539,Airy Seminyak Kerobokan Umalas Dua 83 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3521,Airy Mergangsan Prawirotaman Dua 71 Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,
3541,Airy Seminyak Kerobokan Umalas Klecung 8 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3542,Airy Seminyak Kerobokan Umalas Klecung 38 Bali,,,,,,,,,,,,,,,,,,,,,,,,
